Refresh rate, cpu cycles, bus cycles, instr, branch instructions, branch misses, bpu access, bpu miss, cache ref, cache misses, dtlb read, dtlb miss, itlb read accesses, itlb read misses
1000000000,41673744,3296077,24401069,6913601,228770,5835334,159587,335834,0,2943,9803,0,0
1000000000,31207952,2256452,8738249,1964947,138407,1113752,106215,266593,0,2760,9083,0,0
1000000000,29720107,2008445,4475729,990469,90686,1266724,97560,287007,257,3747,11172,0,0
1000000000,35409958,2472405,6389416,1824913,131665,2039123,131813,283557,0,2858,10619,32,40
100000000,3198508,194522,503880,108130,13095,87425,11237,57021,0,116,227,3,0
100000000,2841430,202973,391303,113361,8885,84523,9233,31114,346,85,1209,0,0
100000000,2727985,185500,692148,109493,9943,109409,13427,27791,323,410,1207,0,0
100000000,2619300,192811,360793,79192,10153,156729,12496,41436,187,432,1179,0,0
100000000,2532793,180450,328477,73125,12430,104415,9325,12224,170,64,283,0,0
100000000,2507599,179218,343257,113841,8845,126660,9047,26084,0,78,1170,0,0
100000000,3158649,232885,805284,135486,13854,182825,15292,53591,0,423,1254,0,0
100000000,2754008,195657,380466,123157,8831,122495,9778,27832,0,377,1224,0,0
100000000,2576251,186042,667307,144764,8921,120101,7675,24457,0,56,270,0,0
100000000,2489778,213943,589372,134767,12532,171991,11693,25357,0,60,1176,0,0
100000000,2548276,227931,636533,117732,7817,81999,7430,24821,0,379,1202,0,0
100000000,3087776,147742,615788,139865,8180,97531,12095,24925,0,385,1299,0,18
100000000,2700851,253303,691826,130994,9647,130079,8389,24126,0,104,389,50,22
100000000,3093255,196770,1193546,894804,39328,905370,37353,29489,0,172,344,34,34
100000000,3358456,198851,479420,140143,9231,84622,9228,32600,0,116,1209,4,0
100000000,3807375,271307,635846,94561,10505,325370,106317,102040,330,474,1296,0,0
100000000,2624671,192951,449400,101008,8805,134505,8179,27323,343,551,1204,0,0
100000000,2716952,194649,384036,83440,12194,102712,9344,12823,184,223,346,0,0
100000000,4921053,364359,579296,167274,11921,415368,10438,30742,143,131,2036,0,0
100000000,2657027,188907,488617,73207,8455,119721,8726,26097,0,511,1187,0,0
100000000,3129527,197007,505143,111387,10396,143980,9296,24699,0,944,1404,0,0
100000000,3482886,186467,383550,90379,9549,152079,9142,28642,0,365,821,0,0
100000000,2831889,189357,443500,141119,7943,121843,7934,26539,0,89,1378,0,0
100000000,2587478,185841,571126,147232,8626,145623,7834,26065,0,556,1130,0,0
100000000,3395259,198657,630446,141682,9711,99149,11804,32527,0,680,1524,0,0
100000000,2498115,224845,684773,147123,7760,137012,8056,27075,0,478,436,0,23
100000000,3231346,214006,689883,130859,11783,83232,9613,32892,0,139,387,33,28
100000000,2768693,190231,537659,133745,8400,101713,8669,41003,0,147,1128,34,35
100000000,3526886,698876,1839988,335663,10159,326157,11961,36915,0,612,1378,2,0
100000000,2780497,202699,373083,1141020,37066,1197094,37924,31973,322,514,1175,0,0
100000000,2948479,200928,477291,107387,13028,84877,10389,21965,267,239,310,0,0
100000000,2751664,205144,414910,144302,9511,109569,9681,37597,131,84,1173,0,0
100000000,2836574,202347,607373,103524,8964,100974,9159,29370,172,484,1184,0,0
100000000,2927987,201863,430276,93820,9368,95739,10141,28020,159,573,1176,0,0
100000000,2972612,213330,521414,110745,9375,130587,9859,46214,0,538,457,0,0
100000000,2600460,186169,332624,81126,9351,138523,9185,30290,0,60,1132,0,0
100000000,2821889,192763,480644,122792,9149,123508,9684,25433,0,552,1229,0,0
100000000,3278259,239656,848869,182878,14321,190355,16115,45094,0,448,1356,0,0
100000000,9941956,238709,702664,159857,9999,116164,9305,30789,0,439,438,0,0
100000000,3053573,209873,536679,117493,9491,72446,8171,26733,0,61,842,0,18
100000000,3167731,217528,709710,159242,10396,97162,11170,29454,0,280,1288,28,28
100000000,2768470,157092,701851,100933,8491,101813,12989,25934,0,438,1152,47,6
100000000,2233727,172506,368853,81255,14849,229796,40371,50044,0,460,708,34,33
100000000,3688298,242178,491329,96881,14210,115830,23575,36587,0,262,312,1,0
100000000,2850923,194121,458769,138661,8861,77504,8529,27141,129,84,1243,0,0
100000000,2601910,195004,602494,102699,9064,99907,11233,29870,357,380,1172,0,0
100000000,3258621,254857,562213,128397,13198,145241,12987,41688,183,382,1248,0,0
100000000,2569898,181956,344165,75870,10491,104204,9233,20658,159,370,298,0,0
100000000,2634210,193824,462432,120500,8751,124828,8703,26681,0,64,1210,0,0
100000000,3730673,286520,518214,132203,13106,160185,13015,34456,0,356,1552,0,0
100000000,2689309,172236,493078,151877,9711,148140,10596,26259,0,402,1210,0,0
100000000,2467852,204908,628355,133026,8821,166990,9116,28008,0,355,346,0,0
100000000,4400896,335652,801972,163867,11668,98063,9143,25750,0,175,1662,0,0
100000000,2983419,221104,556733,136944,8202,79322,10964,39313,0,210,1236,0,0
100000000,3131468,150152,597001,130220,7823,79144,12553,29462,0,421,1387,0,18
